hand_raise,resource_visits,announcement_views,discussion_posts,free_time,study_time,absences,final_grade,learning_style,total_actions,video_actions,audio_actions,text_actions,platform
15.0,16.0,2.0,20.0,3.0,2.0,6.0,6.0,Visual,,,,,
20.0,20.0,3.0,25.0,3.0,2.0,4.0,6.0,Visual,,,,,
10.0,7.0,0.0,30.0,3.0,2.0,10.0,10.0,Visual,,,,,
30.0,25.0,5.0,35.0,2.0,3.0,2.0,15.0,Visual,,,,,
40.0,50.0,12.0,50.0,3.0,2.0,4.0,10.0,Visual,,,,,
42.0,30.0,13.0,70.0,4.0,2.0,10.0,15.0,Visual,,,,,
35.0,12.0,0.0,17.0,4.0,2.0,0.0,11.0,Visual,,,,,
50.0,10.0,15.0,22.0,1.0,2.0,6.0,6.0,Visual,,,,,
12.0,21.0,16.0,50.0,2.0,2.0,0.0,19.0,Visual,,,,,
70.0,80.0,25.0,70.0,5.0,2.0,0.0,15.0,Visual,,,,,
50.0,88.0,30.0,80.0,3.0,2.0,0.0,9.0,Visual,,,,,
19.0,6.0,19.0,12.0,2.0,3.0,4.0,12.0,Visual,,,,,
5.0,1.0,0.0,11.0,3.0,1.0,2.0,14.0,Auditory,,,,,
20.0,14.0,12.0,19.0,4.0,2.0,2.0,11.0,Visual,,,,,
62.0,70.0,44.0,60.0,5.0,3.0,0.0,16.0,Visual,,,,,
30.0,40.0,22.0,66.0,4.0,1.0,4.0,14.0,Visual,,,,,
36.0,30.0,20.0,80.0,2.0,3.0,6.0,14.0,Visual,,,,,
55.0,13.0,35.0,90.0,3.0,2.0,4.0,10.0,Visual,,,,,
69.0,15.0,36.0,96.0,5.0,1.0,16.0,5.0,Visual,,,,,
70.0,50.0,40.0,99.0,1.0,1.0,4.0,10.0,Visual,,,,,
60.0,60.0,33.0,90.0,4.0,2.0,0.0,15.0,Visual,,,,,
10.0,12.0,4.0,80.0,4.0,1.0,0.0,15.0,Visual,,,,,
15.0,21.0,2.0,90.0,5.0,2.0,2.0,16.0,Visual,,,,,
2.0,0.0,2.0,50.0,4.0,2.0,0.0,12.0,Auditory,,,,,
0.0,2.0,3.0,70.0,3.0,3.0,2.0,8.0,Auditory,,,,,
8.0,7.0,30.0,40.0,2.0,1.0,14.0,8.0,Visual,,,,,
19.0,19.0,25.0,40.0,2.0,1.0,2.0,11.0,Visual,,,,,
25.0,15.0,12.0,33.0,2.0,1.0,4.0,15.0,Visual,,,,,
75.0,85.0,52.0,43.0,3.0,2.0,4.0,11.0,Visual,,,,,
30.0,90.0,33.0,35.0,4.0,2.0,16.0,11.0,Visual,,,,,
35.0,80.0,50.0,70.0,4.0,2.0,0.0,12.0,Visual,,,,,
4.0,5.0,40.0,16.0,3.0,2.0,0.0,17.0,Visual,,,,,
2.0,19.0,10.0,50.0,5.0,2.0,0.0,16.0,Visual,,,,,
8.0,22.0,9.0,40.0,3.0,2.0,0.0,12.0,Visual,,,,,
12.0,11.0,8.0,40.0,4.0,1.0,0.0,15.0,Visual,,,,,
10.0,12.0,17.0,30.0,5.0,1.0,0.0,6.0,Visual,,,,,
8.0,6.0,4.0,22.0,4.0,3.0,2.0,18.0,Visual,,,,,
45.0,54.0,26.0,90.0,4.0,3.0,7.0,15.0,Visual,,,,,
0.0,0.0,0.0,4.0,3.0,3.0,2.0,11.0,Auditory,,,,,
50.0,90.0,37.0,70.0,3.0,1.0,8.0,13.0,Visual,,,,,
14.0,13.0,3.0,70.0,3.0,2.0,25.0,11.0,Visual,,,,,
19.0,20.0,16.0,50.0,4.0,1.0,8.0,12.0,Visual,,,,,
10.0,12.0,7.0,33.0,3.0,2.0,2.0,18.0,Visual,,,,,
30.0,35.0,28.0,90.0,4.0,1.0,0.0,11.0,Visual,,,,,
33.0,33.0,30.0,90.0,3.0,2.0,14.0,9.0,Visual,,,,,
20.0,12.0,15.0,70.0,2.0,2.0,8.0,6.0,Visual,,,,,
7.0,10.0,1.0,30.0,3.0,2.0,12.0,11.0,Visual,,,,,
70.0,4.0,39.0,90.0,2.0,4.0,4.0,20.0,Auditory,,,,,
13.0,80.0,40.0,88.0,3.0,2.0,2.0,14.0,Visual,,,,,
29.0,39.0,50.0,77.0,4.0,2.0,2.0,7.0,Visual,,,,,
