hand_raise,resource_visits,announcement_views,discussion_posts,free_time,study_time,absences,final_grade,learning_style,total_actions,video_actions,audio_actions,text_actions,platform,typing_speed_wpm,keystroke_delay,error_rate,page_transitions,backtrack_count,scroll_depth,avg_sentence_length,response_time_sec,vocab_richness,video_watch_ratio,audio_play_ratio,image_click_ratio
15.0,16.0,2.0,20.0,3.0,2.0,6.0,6.0,Visual,,,,,,58,0.42,0.05,24,2,0.67,15,40,0.8,0.71,0.94,0.63
20.0,20.0,3.0,25.0,3.0,2.0,4.0,6.0,Visual,,,,,,71,0.43,0.05,21,0,0.39,15,47,0.88,0.56,0.31,0.73
10.0,7.0,0.0,30.0,3.0,2.0,10.0,10.0,Visual,,,,,,48,0.47,0.09,4,5,0.67,7,31,0.38,0.77,0.02,0.28
30.0,25.0,5.0,35.0,2.0,3.0,2.0,15.0,Visual,,,,,,34,0.32,0.07,4,4,0.92,12,10,0.53,0.58,0.19,0.22
40.0,50.0,12.0,50.0,3.0,2.0,4.0,10.0,Visual,,,,,,62,0.18,0.09,9,8,0.58,12,97,0.86,0.52,0.41,0.86
42.0,30.0,13.0,70.0,4.0,2.0,10.0,15.0,Visual,,,,,,27,0.35,0.04,15,5,0.89,7,173,0.58,0.14,0.06,0.28
35.0,12.0,0.0,17.0,4.0,2.0,0.0,11.0,Visual,,,,,,40,0.4,0.06,24,4,0.94,14,173,0.62,0.47,0.41,0.92
50.0,10.0,15.0,22.0,1.0,2.0,6.0,6.0,Visual,,,,,,58,0.4,0.01,15,0,0.27,23,171,0.75,0.54,0.2,0.37
12.0,21.0,16.0,50.0,2.0,2.0,0.0,19.0,Visual,,,,,,77,0.31,0.01,7,0,0.28,18,18,0.43,0.62,0.02,0.01
70.0,80.0,25.0,70.0,5.0,2.0,0.0,15.0,Visual,,,,,,38,0.13,0.04,12,0,0.58,22,119,0.89,0.46,0.3,0.59
50.0,88.0,30.0,80.0,3.0,2.0,0.0,9.0,Visual,,,,,,42,0.25,0.01,3,6,0.67,7,93,0.77,0.15,0.23,0.35
19.0,6.0,19.0,12.0,2.0,3.0,4.0,12.0,Visual,,,,,,30,0.47,0.02,20,5,0.54,24,141,0.4,0.15,0.42,0.98
5.0,1.0,0.0,11.0,3.0,1.0,2.0,14.0,Auditory,,,,,,30,0.33,0.12,9,4,0.46,18,72,0.37,0.72,0.76,0.39
20.0,14.0,12.0,19.0,4.0,2.0,2.0,11.0,Visual,,,,,,43,0.32,0.01,14,3,0.71,15,141,0.86,0.66,0.51,0.31
62.0,70.0,44.0,60.0,5.0,3.0,0.0,16.0,Visual,,,,,,72,0.21,0.1,13,7,0.2,14,142,0.71,0.26,0.77,0.57
30.0,40.0,22.0,66.0,4.0,1.0,4.0,14.0,Visual,,,,,,55,0.25,0.04,24,7,0.97,18,147,0.32,0.45,0.34,0.73
36.0,30.0,20.0,80.0,2.0,3.0,6.0,14.0,Visual,,,,,,59,0.46,0.13,12,4,0.39,5,117,0.39,0.31,0.01,0.97
